Species;Species_fr;Species_en;classes_age;survie;fecondite
Accipiter gentilis;Autour des palombes;Northern Goshawk;A0;0.55;0
Accipiter gentilis;Autour des palombes;Northern Goshawk;A1;0.65;0.09
Accipiter gentilis;Autour des palombes;Northern Goshawk;A2;0.78;0.54
Accipiter nisus;Epervier d'europe ;Eurasian Sparrowhawk;A0;0.4;0
Accipiter nisus;Epervier d'europe ;Eurasian Sparrowhawk;A1;0.62p;0.9
Accipiter nisus;Epervier d'europe ;Eurasian Sparrowhawk;A2;0.64;1.23
Aegypius monachus;Vautour moine;Cinereous Vulture;A0;0.84;0
Aegypius monachus;Vautour moine;Cinereous Vulture;A1;0.86;0
Aegypius monachus;Vautour moine;Cinereous Vulture;A2;0.86;0
Aegypius monachus;Vautour moine;Cinereous Vulture;A3;0.86;0.27
Aegypius monachus;Vautour moine;Cinereous Vulture;A4;0.86;0.27
Aegypius monachus;Vautour moine;Cinereous Vulture;A5;0.95;0.28
Alauda arvensis;Alouette des champs;Eurasian Skylark;A0;0.3;0
Alauda arvensis;Alouette des champs;Eurasian Skylark;A1;0.66;1.43
Alectoris rufa;Perdrix rouge;Red-legged partridge;A0;0.17;0
Alectoris rufa;Perdrix rouge;Red-legged partridge;A1;0.45;2.19p
Apus Apus;Martinet noir;Common Swift;A0;0.5p;0
Apus Apus;Martinet noir;Common Swift;A1;0.75p;0.4p
Apus Apus;Martinet noir;Common Swift;A2;0.77p;0.4p
Apus Apus;Martinet noir;Common Swift;A3;0.79;0.81
Aquila chrysaetos;Aigle royal;Golden Eagle;A0;0.71;0
Aquila chrysaetos;Aigle royal;Golden Eagle;A1;0.85;0
Aquila chrysaetos;Aigle royal;Golden Eagle;A2;0.85;0
Aquila chrysaetos;Aigle royal;Golden Eagle;A3;0.85;0.12p
Aquila chrysaetos;Aigle royal;Golden Eagle;A4;0.87;0.12p
Aquila chrysaetos;Aigle royal;Golden Eagle;A5;0.9;0.24
Aquila fasciata;Aigle de Bonelli;Bonelli's Eagle;A0;0.55;0
Aquila fasciata;Aigle de Bonelli;Bonelli's Eagle;A1;0.62;0
Aquila fasciata;Aigle de Bonelli;Bonelli's Eagle;A2;0.62;0.19
Aquila fasciata;Aigle de Bonelli;Bonelli's Eagle;A3;0.84;0.49
Aquila fasciata;Aigle de Bonelli;Bonelli's Eagle;A4;0.9;0.49
Asio flammeus;Hibou des marais;short-eared Owl;A0;0.39p;0
Asio flammeus;Hibou des marais;short-eared Owl;A1;0.58p;1.4p
Bubo bubo;Grand Duc d'Europe;Eurasian eagle-owl;A0;0.56p;0
Bubo bubo;Grand Duc d'Europe;Eurasian eagle-owl;A1;0.83p;0.3p
Bubo bubo;Grand Duc d'Europe;Eurasian eagle-owl;A2;0.85p;0.59
Burhinus oedicnemus;Oedicnème criard;Eurasian Stone curlew;A0;0.61;0
Burhinus oedicnemus;Oedicnème criard;Eurasian Stone curlew;A1;0.81p;0
Burhinus oedicnemus;Oedicnème criard;Eurasian Stone curlew;A2;0.84;0.33
Buteo buteo;Buse variable;Common Buzzard;A0;0.61;0
Buteo buteo;Buse variable;Common Buzzard;A1;0.86;0.25
Buteo buteo;Buse variable;Common Buzzard;A2;0.89;0.25
Buteo buteo;Buse variable;Common Buzzard;A3;0.85;0.78
Carduelis cannabina;Linotte mélodieuse;Eurasian Linnet;A0;0.34;0
Carduelis cannabina;Linotte mélodieuse;Eurasian Linnet;A1;0.41;1.29
